,RPA nodes x,RPA nodes y,RPA nodes z
509,131.860001,32.9562988,84.7139969
510,124.428001,110.126999,93.1684036
511,116.586998,85.1437988,103.747002
512,156.582001,61.5181999,88.2863007
513,155.841003,63.0208015,89.2649002
514,83.6921005,85.6570969,101.245003
515,156.923996,63.1776009,88.5567017
516,110.389,18.7026005,59.9687004
517,111.886002,19.0109997,60.6209984
518,102.976997,19.4466991,61.0567017
519,105.830002,20.5142994,65.4356995
520,160.125,43.2799988,58.8997002
521,159.0,42.2624016,58.901001
522,90.211998,75.6331024,101.940002
523,90.9779968,76.7640991,102.431
524,89.3364029,78.3238983,102.172997
525,90.5771027,78.2289963,102.637001
526,89.9349976,76.5497971,102.167
527,87.1724014,52.3860016,96.9340973
528,85.7501984,53.4790001,96.9470978
529,138.496002,50.1369019,95.3298035
530,79.3958969,75.219101,99.3002014
531,137.156006,47.9906006,94.5765991
532,137.376999,48.9159012,95.1865005
533,88.8727036,58.5984993,100.810997
534,89.2603989,61.2608986,100.961998
535,89.9692993,59.9826012,101.513
536,89.3780975,82.0976028,102.445
537,88.0279007,82.8235016,102.098
538,124.431,108.601997,93.6583023
539,132.457993,99.6362991,94.8223038
540,149.285004,73.1458969,94.3979034
541,128.292999,98.5005035,96.6011963
542,127.281998,97.6651001,96.1819
543,118.431,95.4057007,100.954002
544,108.324997,22.1917,70.6130981
545,92.6680984,33.0149002,84.8337021
546,123.274002,85.7945023,102.779999
547,123.782997,87.0159988,102.445999
548,84.9358978,67.973999,100.628998
549,116.709999,82.3398972,105.120003
550,119.846001,81.9369965,104.490997
551,119.081001,81.2036972,105.259003
552,118.120003,82.7115021,104.644997
553,162.089996,45.739399,60.6679001
554,104.250999,21.3330994,67.1776962
555,125.315002,86.101799,102.441002
556,97.4196014,33.5047989,87.5283966
557,100.204002,33.7490005,88.4153976
558,100.391998,32.9934006,87.3688965
559,101.760002,35.1319008,88.7195969
560,101.679001,35.1110992,90.331398
561,101.232002,34.0421982,89.3233032
562,92.6827011,58.3951988,100.695999
563,93.2858963,58.6657982,102.103996
564,92.7582016,57.4631996,101.767998
565,102.134003,25.5414009,76.5411987
566,106.251999,24.6466007,73.6292038
567,105.351997,23.6679001,74.6057968
568,106.957001,23.2304001,73.9227982
569,160.949005,68.0568008,87.2331009
570,159.720001,68.5582962,88.305603
571,159.636002,67.5162964,88.0143967
572,84.4431,69.356102,100.535004
573,85.1288986,70.6013031,100.767998
574,137.138,89.6202011,98.1253967
575,112.315002,80.0438995,105.964996
576,106.411003,87.8472977,103.740997
577,137.289993,80.2846985,101.084999
578,106.497002,86.3022995,103.954002
579,107.224998,84.7815018,104.222
580,157.580002,69.7895966,89.7851028
581,101.220001,63.2400017,104.767998
582,116.035004,93.5873032,101.796997
583,117.456001,93.9866028,101.490997
584,85.6434021,79.1847992,101.109001
585,162.994995,47.6785011,58.8390007
586,118.105003,51.9908981,104.935997
587,113.858002,40.9794006,96.0328979
588,99.9224014,43.0237999,94.4485016
589,117.278,40.9884987,95.7371979
590,115.667999,41.3666,95.8069
591,121.212997,32.8120995,87.6676025
592,120.788002,31.8376999,86.8149033
593,122.331001,25.6599007,76.7148972
594,90.0776978,62.1883011,101.399002
595,137.776993,111.141998,86.8130035
596,124.075996,45.9880981,95.9227982
597,123.871002,45.4863014,97.705101
598,117.973999,27.4519997,79.467598
599,115.801003,25.9764996,80.1576004
600,116.981003,28.0282001,80.2449036
601,153.328003,62.6637993,90.7005005
602,85.6746979,56.4606018,97.9461975
603,158.171997,40.531601,61.4901009
604,158.632996,40.6814995,58.7671013
605,133.468994,21.7945004,60.6539001
606,83.2167969,84.8845978,100.885002
607,82.748497,85.9209976,100.860001
608,84.3476028,82.5519028,101.030998
609,152.190994,64.3498993,91.7603989
610,161.039001,65.3813019,86.2466965
611,98.0435028,24.2299004,72.5398026
612,128.554001,104.901001,92.9822998
613,103.652,38.1814003,93.2873993
614,106.561996,37.7747002,93.1016006
615,126.855003,103.764,93.3302002
616,127.906998,102.109001,93.5884018
617,144.195999,89.2981033,94.5020981
618,135.143005,98.4412003,94.5399017
619,144.016006,33.3051987,77.5094986
620,134.835999,97.0151978,95.4568024
621,134.878006,96.8094025,94.0439987
622,135.169998,95.2110977,94.857399
623,134.365005,95.5162964,94.4182968
624,128.160004,86.2520981,101.882004
625,119.139,61.5293999,104.924004
626,135.632996,97.7067032,93.9227982
627,117.976997,32.9082985,87.1304016
628,119.065002,31.1264992,86.9064026
629,117.647003,31.9069004,85.9878006
630,141.296005,85.0477982,96.9423981
631,165.931,64.6902008,79.5008011
632,165.539993,65.5559006,80.7832031
633,131.296005,28.7621994,78.9527969
634,92.8153,65.7059021,102.559998
635,144.744995,78.2210999,97.0588989
636,108.672997,91.0952988,102.662003
637,124.438004,44.428299,97.1840973
638,122.330002,45.8524017,95.8292007
639,149.488998,67.5224991,93.7485962
640,126.334999,44.0733986,94.7207031
641,119.945999,58.073101,105.836998
642,123.361,57.2332001,105.475998
643,119.545998,101.916,96.2077026
644,118.747002,102.635002,98.0483017
645,120.914001,101.818001,97.8406982
646,122.154999,67.4147034,104.692001
647,123.494003,68.8152008,104.426003
648,119.401001,32.0499992,86.0155029
649,113.515999,26.2439003,80.433403
650,141.610992,50.6153984,94.1046982
651,114.987999,42.6082001,94.7398987
652,114.093002,42.4163017,96.1601028
653,121.771004,25.1100006,75.4024963
654,134.369003,58.4243011,100.978996
655,133.365005,54.5662994,99.888298
656,132.251999,57.1607018,102.945999
657,128.901993,51.6824989,99.5514984
658,105.746002,39.6622009,92.5267029
659,83.3033981,63.7172012,99.7302017
660,138.285004,102.250999,90.9597015
661,150.727005,32.4555016,60.1562996
662,136.574005,103.212997,91.1277008
663,144.011002,79.4927979,97.4039993
664,141.981003,80.8139038,98.2108994
665,143.052994,79.9803009,97.8218994
666,142.811996,78.5968018,98.2811966
667,129.242996,52.9550018,100.164001
668,100.643997,41.5047989,94.9091034
669,99.7796021,41.712101,93.8899994
670,129.764999,51.5983009,101.612
671,101.752998,40.9743996,93.5577011
672,78.9861984,76.6731033,99.2348022
673,122.156998,42.6506996,96.4527969
674,88.2589035,35.1650009,84.0369034
675,114.530998,42.6002007,97.0518036
676,142.710007,101.495003,90.1062012
677,125.346001,90.9676971,100.947998
678,122.722,103.879997,95.9018021
679,97.0086975,52.6222992,99.2237015
680,101.444,52.8167,99.4933014
681,78.183197,77.6657028,99.0138016
682,118.724998,30.4043999,85.9919968
683,98.4101028,52.0591011,101.836998
684,116.956001,42.3037987,94.3610001
685,116.061996,41.7589989,96.5503998
686,116.363998,43.5372009,95.3158035
687,117.640999,43.2052994,94.8421021
688,118.077003,41.8688011,96.344101
689,124.517998,23.0170994,70.5212021
690,122.731003,23.2115002,71.2835007
691,124.766998,24.0583992,72.1774979
692,123.556,24.7140007,73.6463013
693,101.973999,42.3648987,94.3367004
694,119.922997,92.1840973,101.707001
695,121.129997,90.8864975,101.829002
696,108.723,24.0137997,75.2554016
697,97.6570969,34.7556992,88.9516983
698,98.9100037,34.5311012,89.0031967
699,98.6113968,35.5163002,89.9844971
700,99.4677963,37.3373985,91.4990997
701,118.246002,84.7182007,103.704002
702,117.089996,84.0190964,104.32
703,107.587997,55.0186005,102.222
704,94.2530975,72.5643997,102.886002
705,117.098999,38.1414986,93.0258026
706,116.444,38.2552986,93.8599014
707,117.204002,39.3931999,94.4172974
708,85.3274002,57.2300987,98.6738968
709,96.8727036,51.9826012,101.467003
710,97.6804962,51.4145012,100.764
711,106.078003,32.1228981,86.0332031
712,111.402,26.3567009,79.998497
713,110.567001,27.1567001,80.1095963
714,111.459999,27.2394009,79.2537994
715,143.955994,54.1721992,94.1667023
716,145.382996,54.8417015,93.5870972
717,143.860001,55.6685982,94.7472992
718,129.503006,36.9991989,90.3167038
719,129.576996,38.7257996,91.5187988
720,130.776993,38.0158997,90.6718979
721,108.832001,46.0663986,95.7225037
722,137.809998,44.7332001,92.5639038
723,118.502998,59.8760986,104.391998
724,140.621994,55.4803009,96.6978989
725,141.403,54.1795998,95.6396027
726,137.651001,56.3334999,98.3330994
727,134.25,56.2738991,101.794998
728,132.901993,58.6276016,101.684998
729,157.078995,78.8685989,90.6694031
730,76.222702,85.7839966,98.7930984
731,98.3283005,50.1291008,100.291
732,99.0591965,49.8376999,97.9532013
733,97.6746979,49.6361008,99.4588013
734,98.8430023,51.1694984,98.8999023
735,98.8000031,50.4986,101.022003
736,121.667999,31.9445992,85.555603
737,120.969002,30.6387005,85.8871994
738,150.022003,65.9337997,93.3249969
739,149.078003,64.7289963,93.7975998
740,108.640999,53.0603981,104.964996
741,147.802002,64.5269012,94.5572968
742,149.195999,88.8940964,92.9557037
743,148.216003,65.7061996,94.4925003
744,144.401001,83.9569016,96.4093018
